muong,viet,mu_sentence,vi_sentence
chái tlốc,chải đầu,"Tỡi nả môch ói, nả tang chái tlốc.","Đợi nó một ít, nó đang chải đầu."
chãi,choấi,Ngỏn chân nì chãi tha.,Ngón chân này choãi ra.
chal,đai,Ông mặc ảo chai wàng.,Ông măc ảo đai vàng.
chàl,chài,Hôm may bác cỏ ti tảnh chàl chăng?,Hôm nay bác có đi quăng chài không?
chàl,chài,Tainh chàl tainh lải.,"Đan chài, đan lưới."
chàl lải,chài lưới,"Ti tảnh cả, phái cỏ chàl cá, lải thốch.","Đi đánh cá phải có chài to, lưới đẹp."
chàm,chàm,Wẳl nhuỗm chàm thốch lẳm.,Váy nhuộm chàm đẹp lắm.
chãm,chạm,"Nả chãm phái thay ỷ pả, nả tẳl chắc.",Chạm phải tay đàn bà nó giật mình.
chãm cốc,chạm cốc,Ha chãm cốc tí chúc mờng thẳng lỡi.,Ta chạm cốc để chúc mừng thắng lợi.
chãm đích,chạm đích,Ho chãm đích tlước da hal dây.,Tớ chạm đích trước cậu hơi giây.
chãm khãm,que vót nhọn,Chân ho nhẩm phái chãm khãm tau lẳm.,Chân tôi dẫm phải que vót nhọn đau lắm.
chãm pac,chạm bạc,Ủn mãi tleo lằm chãm pac.,Cô gái đeo vòng chạm bạc.
chãm tlố,chạm trổ,Là ngề chãm tlố phái khẻo khay mởi ản.,Làm nghề chạm trổ phải khéo tay mới được.
chãm wa,chạm hoa,Lằm pac chãm wa.,Vòng bạc chạm hoa.
chan,chan,Ăn cơm chăng chan nả ăn chăng án.,Không có nước canh chan vào cơm thì nó không ăn nổi.
chàn,gác,Ni là cải chàn tí ố chiểu.,Đây là cái gác để chăn chiếu.
chàn khách,kệ sách,Ho tí quyến khách ớ tliênh chàn khách.,Tôi để quyển sách ở trên kệ sách.
chàn tũa pát,chạn bát,Chàn pát tũa pẫu hay tí khênh pếp.,Người ta hay để chạn bát cạnh bếp.
chản,chán,Chản cải kiếp khổng xa tất xa mường nì rồi.,Sống xa quê hương buồn chán lắm rồi.
chản,chán,Ăn chản ăn thừa.,Ăn chún ăn thừa.
chản chản,con gian,Kẻnh con chản chản nì màu nu.,Cánh con gián này màu nâu.
chản chản,con gian,Thuốc pó chản chản.,Thuốc diệt gián.
chản chê,chán chê,Ăn chản chê mởi thôi.,Ăn chán chê thì thôi.
chản chường,chán  chường,Măng chản chường chăng pui ói nò.,Cảm thấy chán chường chẳng vui chút nào.
chản két,chán ghét,Ho chản két cải tlò cớ đĩ rồi.,Tớ chán ghét cúi trò đểu ấy rồi.
chản nán,chán nản,Đét con hay chỏng chản nán.,Trẻ con hay chán nản.
chản ngản,chán ngán,Ho măng chản ngản quả hê.,Tôi chán ngán quá chừng.
chản tời,chán đời,Da chản tời rồi à?,Mày chán đời rồi à?
chãn,chỗ sàn hẹp ở đầu cầu thang bên ngoài ngưỡng cửa vào nhà sàn,,
chàng,"chàng, chàng trai",Chàng tlal nì thốch tửa dửa.,Chàng trai này đang độ đẹp trai.
chàng chảu,chàng rể,Chàng chảu nhà ho thốch tlỗng là hong.,Chàng rể nhà tôi tốt bụng thật.
chàng Chiếng Uổn,tên một anh chàng theo tưởng tượng dân gian Mường,,
chàng khao,chàng sao; ngôi sao sáng,,
chàng Náich,"tên một người có nhiều quyền thế, theo tưởng tượng dân gian Mường",,
chàng nẻnh,cây sa nhân,Pao theo khỗ chàng nẻnh.,Vào trong rừng cây sa nhân.
chàng Chum Khenh,"chàng Chum Khenh; một người ở trên trời, theo tưởng tượng của dân gian Mường",,
chàng ràng,chàng ràng,"Pay chăng ti ti, còn chàng ràng ớ đỉ à?","Không đi đi, còn đứng chùng ròng ở đấy à?"
cháng,đồng đảnh,Người đỉ cháng.,Cô ấy đóng đảnh.
cháng,hiếu động,Tãi da cháng mẵn hê hơ mởi lớ đã ủn ời.,"Tại em hiếu động quá, nên mới ngã đấy em ạ."
cháng mẽnh,"bẻm miệng, bẻm mép",Ho két nhất mõl cháng mẽnh.,Tớ ghét nhất đứa bẻm miệng.
cháng mồm,lẻo mồm,Da là thàng cháng mồm.,Mày là thằng lễo mồm.
chãng,"giạng, xạc chân",,
chao hao,hình ảnh một vùng trước bãi tha ma,Cứa tổng mường ma đỉ đênh chao hao.,Cửa Mường ma đấy nên chao hao.
chao mang,"thủ tục cuối cùng do đại diện hai họ (trai, gái) thục hiện trong một lễ cưới, thủ tục này được kết thúc bằng việc nâng cốc uống cạn rượu",,
chao thay,rửa tay,Hảo ăn cơm phái thứa thay.,Rửa tay trước khi ăn.
chào,chào,Tlé thay chào.,Đưa tay chào.
chào hàng,chào hàng,ủn Nhàn chào hàng đói lẳm.,Cô Nhàn chào hàng giỏi lắm.
chào hão,"chào rượu (thủ tục xã giao trước khi nâng, chúc, câm cần rượu)",,
chào hói,chào hỏi,Đố khéch tiểnh nhà phái chào hói.,Thấy khách đến nhà phải chào hỏi.
chào khéch,chào khách,Da chăng tha chào khéch à?,Mày không ra chào khách à?
chảo,cháo,Da ưa ăn chảo chẳng?,Cậu thích ăn cháo không?
chảo âm,cháo ám,Cả chuổl nổ chảo ảm điênh ăn lẳm.,Cá chuối nấu cháo ám ăn ngon lắm.
chảo ca,cháo gà,Enh cỏ ưa ăn chảo ca chăng?,Anh có thích ăn cháo gà không?
chảo ca,cháo cá,Chảo cả y đinh ăn lẳm.,Cháo cá cũng ngon lắm.
chảo lòng,cháo lòng,Ho ưa ăn chảo lòng.,Tôi thích ăn cháo lòng.
chảo nhúc,cháo thịt,Ho hảo ăn chảo nhúc.,Tôi muốn ăn cháo thịt.
chảo wa,cháo hoa,Khảng khốt ăn chảo wai điênh ăn.,Mùa nóng ăn cháo hoa cũng ngon.
cháo,chảo,Cải cháo nhà miềnh khống rồi.,Cái chảo nhà mình bị thủng rồi.
chap,tháng chạp,"Quenh ti quấn lãi, lãi tiểnh khảng chap rồi.","Quanh đi quấn lại, lại đến tháng chạp rồi."
chát,chát,Chát nhơ tlải hồng khổng.,Chát như quả hồng còn xanh.
chát,chát,Tlải hồng nì còn chát lẳm.,Quả hông này còn chát lắm.
chảu,rể,Ho là chảu nhà Phin.,Tôi là rể nhà Phin.
chảu,"cây chỏu, cây sặt",,
chãu,"giỏ, lèn, túi",Chãu hố băl.,Túi đựng đồ may vá.
chay,một loại bánh nếp gói lá chuối đồ,,
chay,chay,Enh đỉ ăn chay huôch năm.,Anh ấy ăn chay quanh năm.
chày,vò,"Còn mốch ét lõ nưa, da tha chày cho ho pỡi.","Còn một ít lúa nữa, em ra vò cho anh với."
chày lõ,vò lúa,Ho tang nhỗn chày lõ.,Mình đang bên vò lúa.
cháy,chảy,Chăng mắt hỏl đác nì nả cháy pớ tiểnh no.,Không biết con suối này nước chảy đến từ đâu.
cháy,chảy,Đác cháy tha.,Nước chảy ra.
cháy,nhuyễn,"Là dò, da phái khố nhúc cho tlến cháy tha mởi ản.","Làm giò, phải giã cho chảy cho nhuyễn thịt ra mới được."
cháy mũi,sổ máu,"Ho điênh củm, cháy mũi cá ngày.","Mình bị cúm, chảy nước mũi cả ngày."
chăc,giặc,"Cô chăc, ha phái tều tảnh.","Có giặc, ta phải cùng đánh."
chắc chã,giặc giã,Nước nò cỏ chăc chã là đân khố lẳm.,Nước nào có giặc giã thì người dân khổ lắm.
chăc có,giặc cỏ,Tàn đỉ chí là bè chăc có.,Bọn ấy chỉ là lũ giặc cỏ.
chắc,chắc,Ho ngẳm chắc là nhơ thỉa.,Tôi tin chắc là như vậy.
chắc,chắc,Da puôc cải chac đỉ cỏ chắc chăng?,Anh buộc cái dây đó có chắc không?
chắc,chắc,Hào cho chắc.,lào cho chắc.
chắc cá,người lớn,Đố chắc cá pỗ mẽnh con đét chăng ản lãi.,"Thấy người lớn nói chuyện, trẻ con không được lại gần."
chắc chẳn,chắc chắn,Là chỉ phái chắc chẳn hơ mởi là.,Làm gì cũng phải chắc chắn thì mới làm.
chắc khà,người già,"Chắc khà, pẫu chăng ưa ồn ào no.",Người già không thích ồn ào đâu.
chắc khà,người già,"Con đét tùi ca, chắc khà cơm hão.","Trẻ con đùi gà, người già cơm rượu."
chắc khà pổ,"phụ thân, bố, cha",Chắc khà pổ nả tà qua tời y khẳng nì năm hơ.,Phụ thân nó qua đời cũng vòo tháng này năm ngoái.
chắc lép,chốc lép,Da còn lo chắc lép à?,Anh còn lo chắc lép phải không?
chắc tlỗng,chắc bụng,Cử là môch pát cơm nguỗi cho chắc tlỗng.,Ăn một bát cơm cho chắc bụng cái đã.
chằl cha,cọc rào vườn,Ché cáp là chằl cha.,Chẻ re làm cọc rào vườn.
chằl hào cọc rào.,Tẻm cáp là chằl hào,Chạý tre làm cọc rào.,
chẳl,cháy,"Chằl nhà, mởi tha măt chuột.",Cháy nhà mới ra mặt chuột.
chẳl huông,"cháy len lỏi, cháy âm ỉ ở bên trong",Cải cãi nì nả chẳl huông ớ tlong roch è.,Cái cây này cháy len lỏi ở trong lòng thân cây à.
chẳl khẻm,cháy sém,"Nã chẳl khẻm lãi, là po mà ăn ản?","Nướng cháy sém lại, làm sao mà ăn được?"
chẳl pốc liênh,bốc cháy,"Chí cần môch pol khón lả thơi, là nả chẳl pốc liênh liền.",Chỉ cần một tàn thuốc thôi là nó bốc cháy lên liền.
chẳl pờng,cháy bùng,Quat cho nả chẳl pờng liênh ti.,Quạt cho nó cháy bùng to lên đi.
chẳl thủl,cháy túi,Ti tha chỡ dão môch wòng tà chẳl thủl.,Đi một vòng chợ tiền đã cháy túi.
chẵl,chạy,"Mưa rồi, chẵl chỏng.","Mựa rồi, chạy nhanh đi."
chẵl ào ào,chạy ào ào,Mõl chẵl ào ào wài khả.,Người chạy ào ào ngoài đường.
